Country;CountryCode;EU;EUETS;OECD;G7;G20;BRICS;African Union;OPEC;OPEC+;NATO;ASEAN;Mercosur;Andean Community;RCEP;USMCA;AfCFTA;Belt and Road Initiative;SCO;GCC;LAS;OIC
Afghanistan;AFG;;;;;;;;;;;;;;;;;member;;;;member
Aland Islands;ALA;;;;;;;;;;;;;;;;;;;;;
Albania;ALB;candidate;;;;;;;;;member;;;;;;;member;;;;member
Algeria;DZA;;;;;;;member;member;member;;;;;;;member;member;;;member;member
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;;;;;;;member;ex-member;ex-member;;;;;;;member;member;;;;
Anguilla;AIA;;;;;;;;;;;;;;;;;;;;;
Antarctica;ATA;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;ATG;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;;;candidate;;member;;;;;;;member;;;;;member;;;;
Armenia;ARM;;;;;;;;;;;;;;;;;member;;;;
Aruba;ABW;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;;;member;;member;;;;;;;;;member;;;;;;;
Austria;AUT;member;member;member;;;;;;;;;;;;;;member;;;;
Azerbaijan;AZE;;;;;;;;;member;;;;;;;;member;;;;member
Bahamas;BHS;;;;;;;;;;;;;;;;;;;;;
Bahrain;BHR;;;;;;;;;member;;;;;;;;member;;member;member;member
Bangladesh;BGD;;;;;;;;;;;;;;;;;member;;;;member
Barbados;BRB;;;;;;;;;;;;;;;;;member;;;;
Belarus;BLR;;;;;;partner;;;;;;;;;;;member;member;;;
Belgium;BEL;member;member;member;;;;;;;member;;;;;;;;;;;
Belize;BLZ;;;;;;;;;;;;;;;;;;;;;
Benin;BEN;;;;;;;member;;;;;;;;;member;member;;;;member
Bermuda;BMU;;;;;;;;;;;;;;;;;;;;;
Bhutan;BTN;;;;;;;;;;;;;;;;;;;;;
Bolivia, Plurinational State of;BOL;;;;;;partner;;;;;;member;member;;;;member;;;;
Bonaire, Sint Eustatius and Saba;BES;;;;;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;BIH;candidate;;;;;;;;;candidate;;;;;;;member;;;;
Botswana;BWA;;;;;;;member;;;;;;;;;member;member;;;;
Bouvet Island;BVT;;;;;;;;;;;;;;;;;;;;;
Brazil;BRA;;;partner;;member;member;;;partner;;;member;;;;;;;;;
British Indian Ocean Territory;IOT;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;BRN;;;;;;;;;member;;member;;;member;;;member;;;;member
Bulgaria;BGR;member;member;candidate;;;;;;;member;;;;;;;member;;;;
Burkina Faso;BFA;;;;;;;member;;;;;;;;;member;member;;;;member
Burundi;BDI;;;;;;;member;;;;;;;;;member;member;;;;
Cambodia;KHM;;;;;;;;;;;member;;;member;;;member;;;;
Cameroon;CMR;;;;;;;member;;;;;;;;;member;member;;;;member
Canada;CAN;;;member;member;member;;;;;member;;;;;member;;;;;;
Cape Verde;CPV;;;;;;;member;;;;;;;;;member;member;;;;
Cayman Islands;CYM;;;;;;;;;;;;;;;;;;;;;
Central African Republic;CAF;;;;;;;member;;;;;;;;;member;member;;;;
Chad;TCD;;;;;;;member;;;;;;;;;member;member;;;;member
Chile;CHL;;;member;;;;;;;;;partner;;;;;member;;;;
China;CHN;;;partner;;member;member;;;;;;;;member;;;member;member;;;
Christmas Island;CXR;;;;;;;;;;;;;;;;;;;;;
Cocos (Keeling) Islands;CCK;;;;;;;;;;;;;;;;;;;;;
Colombia;COL;;;member;;;;;;;;;partner;member;;;;member;;;;
Comoros;COM;;;;;;;member;;;;;;;;;member;member;;;member;member
Congo;COG;;;;;;;member;member;member;;;;;;;member;member;;;;
Congo, the Democratic Republic of the;COD;;;;;;;member;;;;;;;;;member;member;;;;
Cook Islands;COK;;;;;;;;;;;;;;;;;;;;;
Costa Rica;CRI;;;member;;;;;;;;;;;;;;member;;;;
Cote d Ivoire;CIV;;;;;;;member;;;;;;;;;member;member;;;;
Croatia;HRV;member;member;candidate;;;;;;;member;;;;;;;member;;;;
Cuba;CUB;;;;;;partner;;;;;;;;;;;member;;;;
Curacao;CUW;;;;;;;;;;;;;;;;;;;;;
Cyprus;CYP;member;member;;;;;;;;;;;;;;;member;;;;
Czech Republic;CZE;member;member;member;;;;;;;member;;;;;;;member;;;;
Denmark;DNK;member;member;member;;;;;;;member;;;;;;;;;;;
Djibouti;DJI;;;;;;;member;;;;;;;;;member;member;;;member;member
Dominica;DMA;;;;;;;;;;;;;;;;;;;;;
Dominican Republic;DOM;;;;;;;;;;;;;;;;;member;;;;
Ecuador;ECU;;;;;;;;ex-member;ex-member;;;partner;member;;;;member;;;;
Egypt;EGY;;;;;;member;member;;;;;;;;;member;member;;;member;member
El Salvador;SLV;;;;;;;;;;;;;;;;;member;;;;
Equatorial Guinea;GNQ;;;;;;;member;member;member;;;;;;;member;member;;;;
Eritrea;ERI;;;;;;;member;;;;;;;;;;member;;;;
Estonia;EST;member;member;member;;;;;;;member;;;;;;;member;;;;
Ethiopia;ETH;;;;;;member;member;;;;;;;;;member;member;;;;
Falkland Islands (Malvinas);FLK;;;;;;;;;;;;;;;;;;;;;
Faroe Islands;FRO;;;;;;;;;;;;;;;;;;;;;
Fiji;FJI;;;;;;;;;;;;;;;;;member;;;;
Finland;FIN;member;member;member;;;;;;;member;;;;;;;member;;;;
France;FRA;member;member;member;member;member;;;;;member;;;;;;;;;;;
French Guiana;GUF;;;;;;;;;;;;;;;;;;;;;
French Polynesia;PYF;;;;;;;;;;;;;;;;;;;;;
French Southern Territories;ATF;;;;;;;;;;;;;;;;;;;;;
Gabon;GAB;;;;;;;member;member;member;;;;;;;member;member;;;;member
Gambia;GMB;;;;;;;member;;;;;;;;;member;member;;;;member
Georgia;GEO;candidate;;;;;;;;;candidate;;;;;;;member;;;;
Germany;DEU;member;member;member;member;member;;;;;member;;;;;;;;;;;
Ghana;GHA;;;;;;;member;;;;;;;;;member;member;;;;
Gibraltar;GIB;;;;;;;;;;;;;;;;;;;;;
Greece;GRC;member;member;member;;;;;;;member;;;;;;;member;;;;
Greenland;GRL;;;;;;;;;;;;;;;;;;;;;
Grenada;GRD;;;;;;;;;;;;;;;;;member;;;;
Guadeloupe;GLP;;;;;;;;;;;;;;;;;;;;;
Guam;GUM;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;;;;;;;;;;;;;;;;;;;;;
Guernsey;GGY;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;;;;;;;member;;;;;;;;;member;member;;;;member
Guinea-Bissau;GNB;;;;;;;member;;;;;;;;;member;member;;;;member
Guyana;GUY;;;;;;;;;;;;partner;;;;;member;;;;member
Haiti;HTI;;;;;;;;;;;;;;;;;;;;;
Heard Island and McDonald Islands;HMD;;;;;;;;;;;;;;;;;;;;;
Holy See (Vatican City State);VAT;;;;;;;;;;;;;;;;;;;;;
Honduras;HND;;;;;;;;;;;;;;;;;member;;;;
Hong Kong;HKG;;;partner;;member;member;;;;;;;;member;;;member;member;;;
Hungary;HUN;member;member;member;;;;;;;member;;;;;;;member;;;;
Iceland;ISL;;;member;;;;;;;member;;;;;;;member;;;;
India;IND;;;partner;;member;member;;;;;;;;;;;;member;;;
Indonesia;IDN;;;partner;;member;member;;ex-member;ex-member;;member;;;member;;;member;;;;member
Iran, Islamic Republic of;IRN;;;;;;member;;member;member;;;;;;;;member;member;;;member
Iraq;IRQ;;;;;;;;member;member;;;;;;;;member;;;member;member
Ireland;IRL;member;member;member;;;;;;;;;;;;;;;;;;
Isle of Man;IMN;;;;;;;;;;;;;;;;;;;;;
Israel;ISR;;;member;;;;;;;;;;;;;;;;;;
Italy;ITA;member;member;member;member;member;;;;;member;;;;;;;;;;;
Jamaica;JAM;;;;;;;;;;;;;;;;;member;;;;
Japan;JPN;;;member;member;member;;;;;;;;;member;;;;;;;
Jersey;JEY;;;;;;;;;;;;;;;;;;;;;
Jordan;JOR;;;;;;;;;;;;;;;;;member;;;member;member
Kazakhstan;KAZ;;;;;;partner;;;member;;;;;;;;member;member;;;member
Kenya;KEN;;;;;;;member;;;;;;;;;member;member;;;;
Kiribati;KIR;;;;;;;;;;;;;;;;;member;;;;
Korea, Democratic People's Republic of;PRK;;;;;;;;;;;;;;;;;;;;;
Korea, Republic of;KOR;;;member;;member;;;;;;;;;member;;;member;;;;
Kuwait;KWT;;;;;;;;member;member;;;;;;;;member;;member;member;member
Kyrgyzstan;KGZ;;;;;;;;;;;;;;;;;member;member;;;member
Lao People's Democratic Republic;LAO;;;;;;;;;;;member;;;member;;;member;;;;
Latvia;LVA;member;member;member;;;;;;;member;;;;;;;member;;;;
Lebanon;LBN;;;;;;;;;;;;;;;;;member;;;member;member
Lesotho;LSO;;;;;;;member;;;;;;;;;member;member;;;;
Liberia;LBR;;;;;;;member;;;;;;;;;member;member;;;;
Libya;LBY;;;;;;;member;member;member;;;;;;;member;member;;;member;member
Liechtenstein;LIE;;member;;;;;;;;;;;;;;;;;;;
Lithuania;LTU;member;member;member;;;;;;;member;;;;;;;member;;;;
Luxembourg;LUX;member;member;member;;;;;;;member;;;;;;;member;;;;
Macao;MAC;;;;;;;;;;;;;;;;;member;;;;
Macedonia, the former Yugoslav Republic of;MKD;candidate;;;;;;;;;member;;;;;;;member;;;;
Madagascar;MDG;;;;;;;member;;;;;;;;;member;member;;;;
Malawi;MWI;;;;;;;member;;;;;;;;;member;member;;;;
Malaysia;MYS;;;;;;partner;;;ex-member;;member;;;member;;;member;;;;member
Maldives;MDV;;;;;;;;;;;;;;;;;member;;;;member
