X;CountryCode;RegionCode;missingH12
Afghanistan;AFG;OAS_central;OAS
Aland Islands;ALA;ENC;EUR
Albania;ALB;NES_EU;NEU
Algeria;DZA;NAF;MEA
American Samoa;ASM;SEA;OAS
Andorra;AND;NES_EU;NEU
Angola;AGO;AFC;SSA
Anguilla;AIA;OLA;LAM
Antarctica;ATA;OLA;LAM
Antigua and Barbuda;ATG;OLA;LAM
Argentina;ARG;OLA;LAM
Armenia;ARM;CAS;REF
Aruba;ABW;OLA;LAM
Australia;AUS;ANZ;CAZ
Austria;AUT;AUT;EUR
Azerbaijan;AZE;CAS;REF
Bahamas;BHS;OLA;LAM
Bahrain;BHR;MEA_other;MEA
Bangladesh;BGD;OAS_central;OAS
Barbados;BRB;OLA;LAM
Belarus;BLR;CAS;REF
Belgium;BEL;BELUX;EUR
Belize;BLZ;OLA;LAM
Benin;BEN;AFC;SSA
Bermuda;BMU;OLA;LAM
Bhutan;BTN;OAS_central;OAS
Bolivia, Plurinational State of;BOL;OLA;LAM
Bonaire, Sint Eustatius and Saba;BES;OLA;LAM
Bosnia and Herzegovina;BIH;NES_EU;NEU
Botswana;BWA;AFC;SSA
Bouvet Island;BVT;OLA;LAM
Brazil;BRA;BRA;LAM
British Indian Ocean Territory;IOT;GBR;EUR
Brunei Darussalam;BRN;SEA;OAS
Bulgaria;BGR;ECS;EUR
Burkina Faso;BFA;AFC;SSA
Burundi;BDI;AFC;SSA
Cambodia;KHM;SEA;OAS
Cameroon;CMR;AFC;SSA
Canada;CAN;CAN;CAZ
Cape Verde;CPV;AFC;SSA
Cayman Islands;CYM;OLA;LAM
Central African Republic;CAF;AFC;SSA
Chad;TCD;NAF;MEA
Chile;CHL;OLA;LAM
China;CHN;CHA;CHA
Christmas Island;CXR;ANZ;CAZ
Cocos (Keeling) Islands;CCK;ANZ;CAZ
Colombia;COL;OLA;LAM
Comoros;COM;AFC;SSA
Congo;COG;AFC;SSA
Congo, the Democratic Republic of the;COD;AFC;SSA
Cook Islands;COK;SEA;OAS
Costa Rica;CRI;OLA;LAM
Cote d Ivoire;CIV;AFC;SSA
Croatia;HRV;ECS;EUR
Cuba;CUB;OLA;LAM
Curacao;CUW;OLA;LAM
Cyprus;CYP;GRC;EUR
Czech Republic;CZE;ECE_other;EUR
Denmark;DNK;ENC;EUR
Djibouti;DJI;AFC;SSA
Dominica;DMA;OLA;LAM
Dominican Republic;DOM;OLA;LAM
Ecuador;ECU;OLA;LAM
Egypt;EGY;NAF;MEA
El Salvador;SLV;OLA;LAM
Equatorial Guinea;GNQ;AFC;SSA
Eritrea;ERI;AFC;SSA
Estonia;EST;ECE_other;EUR
Ethiopia;ETH;AFC;SSA
Falkland Islands (Malvinas);FLK;OLA;LAM
Faroe Islands;FRO;ENC;EUR
Fiji;FJI;SEA;OAS
Finland;FIN;ENC;EUR
France;FRA;FRA;EUR
French Guiana;GUF;OLA;LAM
French Polynesia;PYF;SEA;OAS
French Southern Territories;ATF;FRA;EUR
Gabon;GAB;AFC;SSA
Gambia;GMB;AFC;SSA
Georgia;GEO;NES_EU;NEU
Germany;DEU;DEU;EUR
Ghana;GHA;AFC;SSA
Gibraltar;GIB;GBR;EUR
Greece;GRC;GRC;EUR
Greenland;GRL;ENC;EUR
Grenada;GRD;OLA;LAM
Guadeloupe;GLP;OLA;LAM
Guam;GUM;SEA;OAS
Guatemala;GTM;OLA;LAM
Guernsey;GGY;GBR;EUR
Guinea;GIN;AFC;SSA
Guinea-Bissau;GNB;AFC;SSA
Guyana;GUY;OLA;LAM
Haiti;HTI;OLA;LAM
Heard Island and McDonald Islands;HMD;ANZ;CAZ
Holy See (Vatican City State);VAT;NES_EU;NEU
Honduras;HND;OLA;LAM
Hong Kong;HKG;CHA;CHA
Hungary;HUN;ECS;EUR
Iceland;ISL;NEN_other;NEU
