X;CountryCode;RegionCode;missingH12;REMIND_62;REMIND_54;REMIND_39;REMIND_26;REMIND_21;REMIND_12
Afghanistan;AFG;OAS_other;rest;OAS_other;OAS_other;OAS_central;OAS;OAS;OAS
Aland Islands;ALA;FIN;EUR;FIN;FIN;ENC;ENC;ENC;EUR
Albania;ALB;ALB;NEU;ALB;NES_EU;NES_EU;NES;NES;NEU
Algeria;DZA;NAF_other;rest;NAF_other;NAF_other;NAF;MEA;MEA;MEA
American Samoa;ASM;SEA_other2;rest;SEA_other2;SEA_other;SEA;OAS;OAS;OAS
Andorra;AND;NES_other;NEU;NES_other;NES_EU;NES_EU;NES;NES;NEU
Angola;AGO;AFC_other;rest;AFC_other;AFC_other;AFC;SSA;SSA;SSA
Anguilla;AIA;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Antarctica;ATA;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Antigua and Barbuda;ATG;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Argentina;ARG;ARG;rest;ARG;ARG;OLA;LAM;LAM;LAM
Armenia;ARM;REF_other;rest;REF_other;CAS;CAS;REF;REF;REF
Aruba;ABW;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Australia;AUS;AUS;rest;AUS;ANZ;ANZ;CAZ;CAZ;CAZ
Austria;AUT;AUT;EUR;AUT;AUT;AUT;AUT;EWN;EUR
Azerbaijan;AZE;REF_other;rest;REF_other;CAS;CAS;REF;REF;REF
Bahamas;BHS;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Bahrain;BHR;MEA_other;rest;MEA_other;MEA_other;MEA_other;MEA;MEA;MEA
Bangladesh;BGD;BGD;rest;BGD;BGD;OAS_central;OAS;OAS;OAS
Barbados;BRB;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Belarus;BLR;REF_other;rest;REF_other;CAS;CAS;REF;REF;REF
Belgium;BEL;BELUX;EUR;BELUX;BELUX;BELUX;BELUX;EWN;EUR
Belize;BLZ;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Benin;BEN;AFC_other;rest;AFC_other;AFC_other;AFC;SSA;SSA;SSA
Bermuda;BMU;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Bhutan;BTN;OAS_other;rest;OAS_other;OAS_other;OAS_central;OAS;OAS;OAS
Bolivia, Plurinational State of;BOL;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Bonaire, Sint Eustatius and Saba;BES;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Bosnia and Herzegovina;BIH;NES_other;NEU;NES_other;NES_EU;NES_EU;NES;NES;NEU
Botswana;BWA;AFC_other;rest;AFC_other;AFC_other;AFC;SSA;SSA;SSA
Bouvet Island;BVT;LAM_other;rest;LAM_other;OLA;OLA;LAM;LAM;LAM
Brazil;BRA;BRA;rest;BRA;BRA;BRA;LAM;LAM;LAM
British Indian Ocean Territory;IOT;GBR;EUR;GBR;GBR;GBR;GBR;UKI;EUR
Brunei Darussalam;BRN;SEA_other2;rest;SEA_other2;SEA_other;SEA;OAS;OAS;OAS
Bulgaria;BGR;ECS;EUR;ECS;ECS;ECS;ECS;ECS;EUR
Burkina Faso;BFA;AFC_other;rest;AFC_other;AFC_other;AFC;SSA;SSA;SSA
Burundi;BDI;AFC_other;rest;AFC_other;AFC_other;AFC;SSA;SSA;SSA
